GDP pc 2011 prices,Afghanistan,Angola,Albania,United Arab Emirates,Argentina,Armenia,Australia,Austria,Azerbaijan,Burundi,Belgium,Benin,Burkina Faso,Bangladesh,Bulgaria,Bahrain,Bosnia and Herzegovina,Belarus,Bolivia (Plurinational State of),Brazil,Barbados,Botswana,Central African Republic,Canada,Switzerland,Chile,China,Côte d'Ivoire,Cameroon,D.R. of the Congo,Congo,Colombia,Comoros,Cabo Verde,Costa Rica,Czechoslovakia,Cuba,Cyprus,Czech Republic,Germany,Djibouti,Dominica,Denmark,Dominican Republic,Algeria,Ecuador,Egypt,Spain,Estonia,Ethiopia,Finland,France,Gabon,United Kingdom,Georgia,Ghana,Guinea,Gambia,Guinea-Bissau,Equatorial Guinea,Greece,Guatemala,"China, Hong Kong SAR",Honduras,Croatia,Haiti,Hungary,Indonesia,India,Ireland,Iran (Islamic Republic of),Iraq,Iceland,Israel,Italy,Jamaica,Jordan,Japan,Kazakhstan,Kenya,Kyrgyzstan,Cambodia,Republic of Korea,Kuwait,Lao People's DR,Lebanon,Liberia,Libya,Saint Lucia,Sri Lanka,Lesotho,Lithuania,Luxembourg,Latvia,Morocco,Republic of Moldova,Madagascar,Mexico,TFYR of Macedonia,Mali,Malta,Myanmar,Montenegro,Mongolia,Mozambique,Mauritania,Mauritius,Malawi,Malaysia,Namibia,Niger,Nigeria,Nicaragua,Netherlands,Norway,Nepal,New Zealand,Oman,Pakistan,Panama,Peru,Philippines,Poland,Puerto Rico,D.P.R. of Korea,Portugal,Paraguay,State of Palestine,Qatar,Romania,Russian Federation,Rwanda,Saudi Arabia,Sudan (Former),Senegal,Singapore,Sierra Leone,El Salvador,Serbia,Sao Tome and Principe,Former USSR,Slovakia,Slovenia,Sweden,Swaziland,Seychelles,Syrian Arab Republic,Chad,Togo,Thailand,Tajikistan,Turkmenistan,Trinidad and Tobago,Tunisia,Turkey,"Taiwan, Province of China",U.R. of Tanzania: Mainland,Uganda,Ukraine,Uruguay,United States,Uzbekistan,Venezuela (Bolivarian Republic of),Viet Nam,Yemen,Former Yugoslavia,South Africa,Zambia,Zimbabwe
1532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1662.39242585509,,,,,,,,1399.75564596514,,,,1342.54529639357,,1741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3222.81639928699,,,,,,,,,948,,,1416.7594341355,,,,,,,,,,,,,,,,,,1798,,,,,,,,,,,,,,,,,,,,,,,,,
1533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1603.00500982696,,,,,,,,1336.01662014441,,,,1497.36525006265,,1725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2835.11586452763,,,,,,,,,945,,,1461.5328105105,,,,,,,,,,,,,,,,,,1479,,,,,,,,,,,,,,,,,,,,,,,,,
1534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1615.14989636576,,,,,,,,1498.79836529743,,,,1408.15268722485,,1795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2998.2174688057,,,,,,,,,942,,,1360.886881536,,,,,,,,,,,,,,,,,,1490,,,,,,,,,,,,,,,,,,,,,,,,,
1535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1652.13689946755,,,,,,,,1437.64568775948,,,,1537.95645691304,,1665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3110.51693404635,,,,,,,,,939,,,1289.7027936975,,,,,,,,,,,,,,,,,,1403,,,,,,,,,,,,,,,,,,,,,,,,,
1536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1720.80073207506,,,,,,,,1383.08604082189,,,,1557.18139715815,,1639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3453.65418894831,,,,,,,,,950,,,1355.856221811,,,,,,,,,,,,,,,,,,1511,,,,,,,,,,,,,,,,,,,,,,,,,
1537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1670.29977307153,,,,,,,,1560.92735789866,,,,1647.07053431447,,1758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2778.96613190731,,,,,,,,,963,,,1274.85938259225,,,,,,,,,,,,,,,,,,1551,,,,,,,,,,,,,,,,,,,,,,,,,
1538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1677.61068144414,,,,,,,,1443.47850995594,,,,1506.04853224682,,1657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2916.22103386809,,,,,,,,,969,,,1209.875177056,,,,,,,,,,,,,,,,,,1583,,,,,,,,,,,,,,,,,,,,,,,,,
1539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1608.68663782056,,,,,,,,1290.59375797626,,,,1486.35037051105,,1780,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2645.27629233512,,,,,,,,,971,,,1247.61238472325,,,,,,,,,,,,,,,,,,1302,,,,,,,,,,,,,,,,,,,,,,,,,
1540,,,,,,,,,,,,,,,,,,,,,,,,,,,1193,,,,,,,,,,,,,1541.56551599593,,,,,,,,1457.629111781,,,,1501.61310548254,,1713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2403.74331550802,,,,,,,,,982,,,1217.85082585075,,,,,,,,,,,,,,,,,,1412,,,,,,,,,,,,,,,,,,,,,,,,,
1541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1576.25992432161,,,,,,,,1505.35060540687,,,,1579.68403029954,,1659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2213.90374331551,,,,,,,,,995,,,1260.73667153525,,,,,,,,,,,,,,,,,,1269,,,,,,,,,,,,,,,,,,,,,,,,,
1542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1593.76796068276,,,,,,,,1253.43145520888,,,,1616.8888104962,,1711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2390.3743315508,,,,,,,,,1007,,,1282.0459702505,,,,,,,,,,,,,,,,,,1390,,,,,,,,,,,,,,,,,,,,,,,,,
1543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1541.20905859955,,,,,,,,1363.21598980631,,,,1520.59875195437,,1649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2299.46524064171,,,,,,,,,1027,,,1301.0338407885,,,,,,,,,,,,,,,,,,1519,,,,,,,,,,,,,,,,,,,,,,,,,
1544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1570.15499343346,,,,,,,,1493.8289880234,,,,1426.33504055857,,1734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2426.02495543672,,,,,,,,,1041,,,1274.0546485485,,,,,,,,,,,,,,,,,,1530,,,,,,,,,,,,,,,,,,,,,,,,,
1545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1531.28125109072,,,,,,,,1267.01212780562,,,,1205.80860800988,,1680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2595.36541889483,,,,,,,,,1054,,,1267.15212944775,,,,,,,,,,,,,,,,,,1572,,,,,,,,,,,,,,,,,,,,,,,,,
1546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1479.85375474174,,,,,,,,1391.47836380344,,,,1346.47539139424,,1705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2190.73083778966,,,,,,,,,1063,,,1351.9357508475,,,,,,,,,,,,,,,,,,1592,,,,,,,,,,,,,,,,,,,,,,,,,
1547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1588.88753456068,,,,,,,,1623.08133569646,,,,1614.99842043676,,1841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2721.03386809269,,,,,,,,,1057,,,1384.662561282,,,,,,,,,,,,,,,,,,1412,,,,,,,,,,,,,,,,,,,,,,,,,
1548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1577.62043346471,,,,,,,,1308.00368633496,,,,1556.49964577453,,1755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2614.97326203209,,,,,,,,,1049,,,1396.718671075,,,,,,,,,,,,,,,,,,1561,,,,,,,,,,,,,,,,,,,,,,,,,
1549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1551.54535527628,,,,,,,,1348.93427000442,,,,1375.82060582091,,1678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2666.66666666667,,,,,,,,,1049,,,1361.904961053,,,,,,,,,,,,,,,,,,1634,,,,,,,,,,,,,,,,,,,,,,,,,
1550,,,,,,,,,,,2410,,,,,,,,,,,,,,,,1195,,,,,,,,,,,,,1500.45040101106,,,,,,,,1624.59909239148,,,,1431.73439886739,,1654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,574,,,,,,,,,,,,,,,,2884.13547237077,,,,,,,,,1041,,,1330.7799374415,,,,,,,,,,,,,,,,,,1655,,,,,,,,,,,,,,,,,,,,,,,,,
1551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1441.51230298305,,,,,,,,1446.24320102278,,,,1335.99767899424,,1604,,,,,,,,,,,,,,,,,,,,,2340.26878995604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2632.79857397504,,,,,,,,,1038,,,1310.0495088135,,,,,,,,,,,,,,,,,,1723,,,,,,,,,,,,,,,,,,,,,,,,,
1552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1439.15992771541,,,,,,,,1522.21613069471,,,,1330.09442089729,,1528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3045.45454545455,,,,,,,,,1042,,,1413.9132244965,,,,,,,,,,,,,,,,,,1683,,,,,,,,,,,,,,,,,,,,,,,,,
1553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1505.26709731777,,,,,,,,1567.1840348282,,,,1376.50533280343,,1781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2557.93226381462,,,,,,,,,1044,,,1630.68135958,,,,,,,,,,,,,,,,,,1561,,,,,,,,,,,,,,,,,,,,,,,,,
1554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1558.65642083598,,,,,,,,1505.18869757384,,,,1375.93038223925,,1616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2741.53297682709,,,,,,,,,1047,,,1518.42590638375,,,,,,,,,,,,,,,,,,1559,,,,,,,,,,,,,,,,,,,,,,,,,
1555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1561.27321440051,,,,,,,,1413.97715378026,,,,1388.47544141382,,1599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3078.43137254902,,,,,,,,,1052,,,1347.503148446,,,,,,,,,,,,,,,,,,1530,,,,,,,,,,,,,,,,,,,,,,,,,
1556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1569.89712696158,,,,,,,,1365.04617782779,,,,1263.31577958713,,1295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3499.10873440285,,,,,,,,,1060,,,1221.429814332,,,,,,,,,,,,,,,,,,1580,,,,,,,,,,,,,,,,,,,,,,,,,
1557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1553.56458639549,,,,,,,,1408.96862548944,,,,1289.74154846955,,1419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3218.36007130125,,,,,,,,,1078,,,1235.05557859775,,,,,,,,,,,,,,,,,,1608,,,,,,,,,,,,,,,,,,,,,,,,,
1558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1582.34558959457,,,,,,,,1428.90533624861,,,,1362.33609470673,,1843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3295.90017825312,,,,,,,,,1103,,,1320.75713754075,,,,,,,,,,,,,,,,,,1600,,,,,,,,,,,,,,,,,,,,,,,,,
1559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1544.29686173927,,,,,,,,1423.40265606978,,,,1353.24319316621,,1744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2940.28520499109,,,,,,,,,1125,,,1353.80684009025,,,,,,,,,,,,,,,,,,1677,,,,,,,,,,,,,,,,,,,,,,,,,
1560,,,,,,,,,,,,,,,,,,,,,,,,,,,1200,,,,,,,,,,,,,1537.67544700603,,,,,,,,1607.11094310932,,,,1290.48229543345,,1753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3083.77896613191,,,,,,,,,1146,,,1564.727745945,,,,,,,,,,,,,,,,,,1610,,,,,,,,,,,,,,,,,,,,,,,,,
1561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1519.91935184361,,,,,,,,1432.67381437544,,,,1278.84899497054,,1778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3457.2192513369,,,,,,,,,1162,,,1390.47078031225,,,,,,,,,,,,,,,,,,1487,,,,,,,,,,,,,,,,,,,,,,,,,
1562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1501.39596666192,,,,,,,,1534.59645563642,,,,1269.52378697532,,1762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3827.0944741533,,,,,,,,,1170,,,1385.8917027865,,,,,,,,,,,,,,,,,,1492,,,,,,,,,,,,,,,,,,,,,,,,,
1563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1515.96873928021,,,,,,,,1648.77231764316,,,,1316.45140011815,,1913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3490.19607843137,,,,,,,,,1172,,,1389.14256301275,,,,,,,,,,,,,,,,,,1565,,,,,,,,,,,,,,,,,,,,,,,,,
1564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1535.39002904457,,,,,,,,1606.55179138244,,,,1328.60999869157,,1843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3520.4991087344,,,,,,,,,1175,,,1454.108114641,,,,,,,,,,,,,,,,,,1688,,,,,,,,,,,,,,,,,,,,,,,,,
1565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1539.47772572619,,,,,,,,1604.72328287874,,,,1308.92024551522,,1839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3655.97147950089,,,,,,,,,1176,,,1474.5425972095,,,,,,,,,,,,,,,,,,1632,,,,,,,,,,,,,,,,,,,,,,,,,
1566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1513.53753422099,,,,,,,,1515.4008238405,,,,1177.72737639052,,2056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3084.67023172906,,,,,,,,,1170,,,1422.13932289975,,,,,,,,,,,,,,,,,,1854,,,,,,,,,,,,,,,,,,,,,,,,,
1567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1510.39497638311,,,,,,,,1513.07004054773,,,,1316.26073797418,,1920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3965.24064171123,,,,,,,,,1168,,,1456.6747351065,,,,,,,,,,,,,,,,,,1886,,,,,,,,,,,,,,,,,,,,,,,,,
1568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1507.67247628239,,,,,,,,1579.60951071033,,,,1422.42101228774,,1911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4090.90909090909,,,,,,,,,1170,,,1424.50538327825,,,,,,,,,,,,,,,,,,1830,,,,,,,,,,,,,,,,,,,,,,,,,
1569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1508.31889893332,,,,,,,,1504.67413082256,,,,1528.08110296355,,1895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2434.04634581105,,,,,,,,,1175,,,1376.2887513375,,,,,,,,,,,,,,,,,,1865,,,,,,,,,,,,,,,,,,,,,,,,,
1570,,,,,,,,,,,,,,,,,,,,,,,,,,,1237.842,,,,,,,,,,,,,1475.46960991945,,,,,,,,1483.51096877057,,,,1386.31342103955,,1737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,606,,,,,,,,,,,,,,,,2297.68270944742,,,,,,,,,1181,,,1433.40991486875,,,,,,,,,,,,,,,,,,1755,,,,,,,,,,,,,,,,,,,,,,,,,
1571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1439.63580594562,,,,,,,,1585.39029968546,,,,1240.77450422706,,1737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2456.32798573975,,,,,,,,,1180,,,1549.31768352725,,,,,,,,,,,,,,,,,,1497,,,,,,,,,,,,,,,,,,,,,,,,,
1572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1464.34197277833,,,,,,,,1650.37238630577,,,,1233.69354188736,,1675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2056.14973262032,,,,,,,,,1191,,,1573.93904192525,,,,,,,,,,,,,,,,,,1129,,,,,,,,,,,,,,,,,,,,,,,,,
1573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1444.11775237222,,,,,,,,1472.76865907006,,,,1167.30698476674,,1914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2258.46702317291,,,,,,,,,1205,,,1703.2443402975,,,,,,,,,,,,,,,,,,1323,,,,,,,,,,,,,,,,,,,,,,,,,
1574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1463.85617870561,,,,,,,,1424.31310984396,,,,1191.07945544389,,1689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2659.53654188948,,,,,,,,,1215,,,1632.66148682,,,,,,,,,,,,,,,,,,1409,,,,,,,,,,,,,,,,,,,,,,,,,
1575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1509.86654309765,,,,,,,,1558.5777671957,,,,1304.08924367076,,1876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2924.24242424242,,,,,,,,,1234,,,1344.58243066875,,,,,,,,,,,,,,,,,,1532,,,,,,,,,,,,,,,,,,,,,,,,,
1576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1613.34220314938,,,,,,,,1474.67796829164,,,,1382.12844234731,,1929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2860.07130124777,,,,,,,,,1253,,,1236.92277274475,,,,,,,,,,,,,,,,,,1567,,,,,,,,,,,,,,,,,,,,,,,,,
1577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1594.68255081935,,,,,,,,1482.80266536919,,,,1383.78598318018,,1630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3838.68092691622,,,,,,,,,1274,,,1222.86740819425,,,,,,,,,,,,,,,,,,1508,,,,,,,,,,,,,,,,,,,,,,,,,
1578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1603.73031279935,,,,,,,,1343.66468038305,,,,1463.16278701508,,1854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4064.17112299465,,,,,,,,,1291,,,1325.80113126825,,,,,,,,,,,,,,,,,,1500,,,,,,,,,,,,,,,,,,,,,,,,,
1579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1540.38064602618,,,,,,,,1450.00692868996,,,,1345.31202762073,,1820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3180.92691622103,,,,,,,,,1290,,,1334.9071241415,,,,,,,,,,,,,,,,,,1511,,,,,,,,,,,,,,,,,,,,,,,,,
1580,,,,,,,,,,,,,,,,,,,,,,,,,,,1217,,,,,,,,,,,,,1492.55965059693,,,,,,,,1446.40039175304,,,,1288.0773287574,,1716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3292.33511586453,,,,,,,,,1286,,,1154.7009388915,,,,,,,,,,,,,,,,,,1478,,,,,,,,,,,,,,,,,,,,,,,,,
1581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1509.61251300114,,,,,,,,1279.3943364659,,,,1445.06117975019,,1654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3433.1550802139,,,,,,,,,1283,,,1204.58548175875,,,,,,,,,,,,,,,,,,1349,,,,,,,,,,,,,,,,,,,,,,,,,
1582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1539.89309693851,,,,,,,,1328.57246875779,,,,1367.22923997417,,1476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3567.73618538324,,,,,,,,,1280,,,1221.2695307995,,,,,,,,,,,,,,,,,,1578,,,,,,,,,,,,,,,,,,,,,,,,,
1583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1542.22398359437,,,,,,,,1340.13003557039,,,,1345.87043646623,,1661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3432.26381461676,,,,,,,,,1274,,,1256.797220679,,,,,,,,,,,,,,,,,,1568,,,,,,,,,,,,,,,,,,,,,,,,,
1584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1517.73747723719,,,,,,,,1256.81770908717,,,,1357.57553838353,,1597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3886.80926916221,,,,,,,,,1266,,,1308.18048185825,,,,,,,,,,,,,,,,,,1529,,,,,,,,,,,,,,,,,,,,,,,,,
1585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1502.74803283557,,,,,,,,1510.15814797019,,,,1399.57399660564,,1396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3380.57040998217,,,,,,,,,1261,,,1242.36453124875,,,,,,,,,,,,,,,,,,1554,,,,,,,,,,,,,,,,,,,,,,,,,
1586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1467.76350511618,,,,,,,,1423.16604600234,,,,1116.33349261717,,1356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3450.08912655971,,,,,,,,,1242,,,1385.9348741875,,,,,,,,,,,,,,,,,,1502,,,,,,,,,,,,,,,,,,,,,,,,,
1587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1475.29647209535,,,,,,,,1387.80200615054,,,,1116.62116183348,,1502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3987.52228163993,,,,,,,,,1224,,,1367.0257190135,,,,,,,,,,,,,,,,,,1419,,,,,,,,,,,,,,,,,,,,,,,,,
1588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1473.92167969439,,,,,,,,1366.07450848063,,,,1325.52071546914,,1690,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3659.53654188948,,,,,,,,,1223,,,1286.611117064,,,,,,,,,,,,,,,,,,1411,,,,,,,,,,,,,,,,,,,,,,,,,
1589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1462.93070172024,,,,,,,,1268.78907786746,,,,1372.02077839708,,1474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3982.17468805704,,,,,,,,,1200,,,1208.49263719275,,,,,,,,,,,,,,,,,,1344,,,,,,,,,,,,,,,,,,,,,,,,,
1590,,,,,,,,,,,,,,,,,,,,,,,,,,,1217,,,,,,,,,,,,,1428.90500703148,,,,,,,,1396.87111572757,,,,1390.07588380805,,1558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4050.80213903743,,,,,,,,,1186,,,1312.7738788255,,,,,,,,,,,,,,,,,,1510,,,,,,,,,,,,,,,,,,,,,,,,,
1591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1445.21318432449,,,,,,,,1347.78117777914,,,,1258.52715205727,,1568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3933.1550802139,,,,,,,,,1160,,,1163.4255609795,,,,,,,,,,,,,,,,,,1557,,,,,,,,,,,,,,,,,,,,,,,,,
